"Barcode";"Name";"Volume";"Count"
"7801620016029";"PAP PET 500 X 12";"500";"1144"
"7801610002261";"FANTA";"1500";"1509"
"7801620016128";"GINGER ALE 12PF-PET 500";"500";"928"
"7801610223505";"NORDIC MIST AGUA TONICA";"350";"108"
"7801620016005";"CRUSH 12-PET 500";"500";"1268"
"7801610019269";"NORDIC GINGER ALE MIST";"1500";"1036"
"7802820441529";"Benedictino Gasificada";"1500";"3864"
"632432333205";"Yerba Mate Guayaki";"355";"2"
"7802820500332";"And Nectar Damasco Light PT1,5*6";"1500";"1"
"7801620006235";"GATORADE LIMONADA 12PF-PET 750";"750";"6"
"7801620007447";"GINGER A LIGHT 6PF-PET 1750-TR";"1750";"91"
"9005465101058";"ENERGIZANTE DARK DOG GUARANA";"250";"10"
"7801620005337";"MAS CATUN UVA S/GAS 6PF-PET1.5";"1500";"2"
"7790315000446";"VillaVicencio Agua con Gas";"500";"3"
"7801610610206";"SPRITE MINI";"250";"125"
"7801620003975";"MAS CATUN WOM F BOSQ PET500X12";"500";"679"
"7802900464042";"Soprole Nectar Damasco";"1500";"6"
"7802100010292";"CRISTAL 6PFX4-LAT350CC";"350";"10897"
"7802130000102";"CERVEZA BALTICA";"354";"381"
"7801620006655";"MAS CATUN PERA PET 1600";"1600";"5154"
"7801620370107";"AGUA TONICA 6PF-PET 1500";"1500";"779"
"7801620006631";"Cachantun Mas sin Gas Granada";"1600";"2813"
"7802820651003";"PAWERADE";"600";"214"
"7801620005344";"MAS CATUN UVA S/G 12PF-PET 500";"500";"638"
"7801926002986";"SANGRIA TRUJILLO CON GAS";"500";"1"
"7801620360214";"GINGER ALE 6PF-PET 2000";"2000";"482"
"7802820441000";"Benedictino PT 500c *12 S/G(Fab)";"500";"1999"
"7801620871147";"FRUGO NARANJA 12PF-PET 500";"500";"12"
"7801620006037";"POP CANDY ALGODON PET500X6";"500";"1"
"7801620006754";"WATT'S MANZAN LIGHT 6PF-PET400";"400";"16"
"7802130000096";"Becker Genuine Lager";"354";"18845"
"7802820679502";"Power Ade Green Punch";"600";"117"
"857741002738";"Marley Premium Coffe Drink Mocha";"325";"4"
"7801610350850";"Coca-Cola Zero";"2500";"10"
"7802900600518";"Soprole Next Agua Gasificada";"1500";"3"
"7801620007003";"MAS CACHANTUN PERA 6PF-PET 2250-TR";"2250";"111"
"7801620360184";"GINGER ALE 6PF-PET 1500";"1500";"1196"
"7801620004972";"BILZ ZERO 6PFX4-PET 250";"250";"536"
"7891991000826";"Guarana Antarctica";"350";"161"
"7801610000571";"Coca-Cola Original";"591";"17438"
"7801620006877";"PEPSI ZERO 6PF-PET 2000";"2000";"773"
"7801620011628";"Whatt´s Nectar de Fruta Damasco";"1500";"1446"
"7802820645859";"Andina Light  Piña 1.5 Pet x 6";"1500";"615"
"7804167001893";"Agua Mineral Lider Pera";"1600";"5"
"7801620853457";"CRUSH 6PFX4-PET 250";"250";"1102"
"7501013118056";"Jumex Durazno";"335";"326"
"7801610118603";"Quatro Zero Pet 500 cc. *6 term.";"500";"601"
"70847009535";"Monster Lo-Carb Lata 473 cc X6";"473";"436"
"4015042100584";"Darguner Pilsener";"330";"2889"
"7804646000003";"ENERGIZANTE MR. BIG";"1500";"52"
"7804646000041";"ENERGIZANTE MR. BIG ZERO";"600";"30"
"7801620000899";"LIMON SODA 6PFX4-PET 250";"250";"2241"
"7801620400255";"CACHANTUN S/GAS 6PF-PET 2250";"2250";"614"
"7801620075941";"PEPSI 12PF-PET 500";"500";"3296"
"7801620006341";"WATT'S PINA LIGHT 6PF-PET 1.5";"1500";"803"
"7802100020130";"Escudo";"350";"12137"
"7801620006501";"BILZ LIG PET2000X6-TR";"2000";"212"
"7894900050011";"FANTA UVA LATA 1 UNIDADE";"350";"2"
"7801620002671";"Gatorade Lima Limon";"500";"264"
"7801610223741";"Sprite Zero Pet 2,0 lts  x 6";"2000";"354"
"7808731303444";"Nectar Frooty Durazno";"500";"6"
"7801620011635";"Whatt´s Nectar de Fruta Piña";"1500";"2327"
"7804626700022";"Soy Late Pura Solidaridad";"500";"2128"
